crd,name,reference_id,compliance_flag,alert_count,file_path
100960,"OUTCOME CAPITAL, LLC",test-ref-100960,False,1,cache/BIZ_100960/FirmComplianceReport_test-ref-100960_v1_20250729.json
10409,"MML INVESTORS SERVICES, LLC",EN-017487,True,0,cache/EN-017487/FirmComplianceReport_EN-017487_v1_20250707.json
104581,"PALISADE CAPITAL MANAGEMENT, LP",EN-013353,True,0,cache/EN-013353/FirmComplianceReport_EN-013353_v1_20250707.json
104599,"KAYNE ANDERSON RUDNICK INVESTMENT MANAGEMENT, LLC",EN-014210,True,0,cache/EN-014210/FirmComplianceReport_EN-014210_v1_20250707.json
104618,SPC FINANCIAL INC,EN-122173,True,0,cache/EN-122173/FirmComplianceReport_EN-122173_v1_20250707.json
104626,"NUVEEN FUND ADVISORS, LLC",EN-040054,True,0,cache/EN-040054/FirmComplianceReport_EN-040054_v1_20250707.json
104627,"HOWE AND RUSLING, INC.",EN-016841,True,0,cache/EN-016841/FirmComplianceReport_EN-016841_v1_20250707.json
104643,"CAPITAL ADVISORS, INC.",EN-020834,True,0,cache/EN-020834/FirmComplianceReport_EN-020834_v1_20250707.json
104643,"CAPITAL ADVISORS, INC.",EN-013434,True,0,cache/EN-013434/FirmComplianceReport_EN-013434_v1_20250707.json
104643,"CAPITAL ADVISORS, INC.",EN-024413,True,0,cache/EN-024413/FirmComplianceReport_EN-024413_v1_20250707.json
104683,NPF INVESTMENT ADVISORS,EN-024803,True,0,cache/EN-024803/FirmComplianceReport_EN-024803_v1_20250707.json
104701,PJS INVESTMENT MANAGEMENT,EN-014434,True,0,cache/EN-014434/FirmComplianceReport_EN-014434_v1_20250707.json
104726,HOWLAND CAPITAL MANAGEMENT LLC,EN-015364,True,0,cache/EN-015364/FirmComplianceReport_EN-015364_v1_20250707.json
104727,"MONETA GROUP INVESTMENT ADVISORS, LLC",EN-014234,True,0,cache/EN-014234/FirmComplianceReport_EN-014234_v1_20250707.json
104754,SIGMA INVESTMENT COUNSELORS,EN-023423,True,0,cache/EN-023423/FirmComplianceReport_EN-023423_v1_20250707.json
104875,EXCHANGE CAPITAL MANAGEMENT INC,EN-014235,True,0,cache/EN-014235/FirmComplianceReport_EN-014235_v1_20250707.json
104913,"WILKINS INVESTMENT COUNSEL, INC",EN-014222,True,0,cache/EN-014222/FirmComplianceReport_EN-014222_v1_20250707.json
104914,CPS INVESTMENT ADVISORS,EN-025458,True,0,cache/EN-025458/FirmComplianceReport_EN-025458_v1_20250707.json
104920,CONDOR CAPITAL WEALTH MANAGEMENT,EN-023225,True,0,cache/EN-023225/FirmComplianceReport_EN-023225_v1_20250707.json
104995,"ATWOOD & PALMER, INC.",EN-021324,True,0,cache/EN-021324/FirmComplianceReport_EN-021324_v1_20250707.json
105058,PRIO WEALTH LP,EN-017399,False,2,cache/EN-017399/FirmComplianceReport_EN-017399_v1_20250707.json
105108,"FIRST REPUBLIC SECURITIES COMPANY, LLC",EN-015895,False,1,cache/EN-015895/FirmComplianceReport_EN-015895_v1_20250707.json
105190,FUTURE FINANCES INC,EN-013760,True,0,cache/EN-013760/FirmComplianceReport_EN-013760_v1_20250707.json
105303,"OXFORD FINANCIAL GROUP, LTD",EN-023392,True,0,cache/EN-023392/FirmComplianceReport_EN-023392_v1_20250707.json
105335,PAUL COMSTOCK PARTNERS,EN-024931,True,0,cache/EN-024931/FirmComplianceReport_EN-024931_v1_20250707.json
105348,CREATIVE PLANNING,EN-024634,True,0,cache/EN-024634/FirmComplianceReport_EN-024634_v1_20250707.json
105392,"BROWN AND BROWN FINANCIAL SERVICES, INC.",test-ref-105392,True,0,cache/BIZ_105392/FirmComplianceReport_test-ref-105392_v1_20250724.json
105441,AUSTIN ASSET,EN-109264,True,0,cache/EN-109264/FirmComplianceReport_EN-109264_v1_20250707.json
105448,R M DAVIS INC,EN-023256,True,0,cache/EN-023256/FirmComplianceReport_EN-023256_v1_20250707.json
105515,HALBERT HARGROVE,EN-014313,True,0,cache/EN-014313/FirmComplianceReport_EN-014313_v1_20250707.json
105540,ANCHOR CAPITAL ADVISORS LLC,EN-013296,True,0,cache/EN-013296/FirmComplianceReport_EN-013296_v1_20250707.json
105643,FINANCIAL SYNERGIES,EN-019009,True,0,cache/EN-019009/FirmComplianceReport_EN-019009_v1_20250707.json
105690,TOCQUEVILLE ASSET MANAGEMENT LP,EN-021411,True,0,cache/EN-021411/FirmComplianceReport_EN-021411_v1_20250707.json
105780,"NORTHERN TRUST INVESTMENTS, INCORPORATED",EN-120440,True,0,cache/EN-120440/FirmComplianceReport_EN-120440_v1_20250707.json
105790,JOHN HANCOCK INVESTMENT MANAGEMENT LLC,EN-022618,True,0,cache/EN-022618/FirmComplianceReport_EN-022618_v1_20250707.json
105981,PORTFOLIO ADVISORS LLC,EN-013412,True,0,cache/EN-013412/FirmComplianceReport_EN-013412_v1_20250707.json
105989,WESCOTT FINANCIAL ADVISORY GROUP LLC,EN-025049,True,0,cache/EN-025049/FirmComplianceReport_EN-025049_v1_20250707.json
105995,REGENTATLANTIC,EN-024844,False,2,cache/EN-024844/FirmComplianceReport_EN-024844_v1_20250707.json
106012,"CREDIT SUISSE ASSET MANAGEMENT, LLC",EN-013346,False,2,cache/EN-013346/FirmComplianceReport_EN-013346_v1_20250707.json
106043,"PHYSICIAN WEALTH ADVISORS, INC.",EN-116363,True,0,cache/EN-116363/FirmComplianceReport_EN-116363_v1_20250707.json
106096,HORIZON KINETICS ASSET MANAGEMENT LLC,EN-014197,True,0,cache/EN-014197/FirmComplianceReport_EN-014197_v1_20250707.json
106109,CHOATE INVESTMENT ADVISORS,EN-016538,True,0,cache/EN-016538/FirmComplianceReport_EN-016538_v1_20250707.json
106181,WEALTHSPIRE ADVISORS,EN-021578,True,0,cache/EN-021578/FirmComplianceReport_EN-021578_v1_20250707.json
106223,F L PUTNAM INVESTMENT MANAGEMENT CO.,EN-015015,True,0,cache/EN-015015/FirmComplianceReport_EN-015015_v1_20250707.json
106223,F L PUTNAM INVESTMENT MANAGEMENT CO.,EN-014416,True,0,cache/EN-014416/FirmComplianceReport_EN-014416_v1_20250707.json
106275,FRANKLIN STREET ADVISORS INC.,EN-025180,True,0,cache/EN-025180/FirmComplianceReport_EN-025180_v1_20250707.json
106455,PRIME BUCHHOLZ LLC,EN-019421,True,0,cache/EN-019421/FirmComplianceReport_EN-019421_v1_20250707.json
106505,SEGALL BRYANT & HAMILL,EN-021521,True,0,cache/EN-021521/FirmComplianceReport_EN-021521_v1_20250707.json
106505,SEGALL BRYANT & HAMILL,EN-128087,True,0,cache/EN-128087/FirmComplianceReport_EN-128087_v1_20250707.json
106508,CIBC ASSET MANAGEMENT INC.,EN-020912,True,0,cache/EN-020912/FirmComplianceReport_EN-020912_v1_20250707.json
106584,FAYEZ SAROFIM & CO.,EN-013191,True,0,cache/EN-013191/FirmComplianceReport_EN-013191_v1_20250707.json
106595,WELLINGTON MANAGEMENT COMPANY LLP,EN-016030,True,0,cache/EN-016030/FirmComplianceReport_EN-016030_v1_20250707.json
106720,FIDUCIENT ADVISORS LLC,EN-018440,True,0,cache/EN-018440/FirmComplianceReport_EN-018440_v1_20250707.json
106733,"BOK FINANCIAL PRIVATE WEALTH, INC.",EN-024959,True,0,cache/EN-024959/FirmComplianceReport_EN-024959_v1_20250707.json
106743,CITIZENS PRIVATE WEALTH,EN-019285,True,0,cache/EN-019285/FirmComplianceReport_EN-019285_v1_20250707.json
106746,DISCIPLINED GROWTH INVESTORS INC,EN-117740,True,0,cache/EN-117740/FirmComplianceReport_EN-117740_v1_20250707.json
106786,ALTA CAPITAL MANAGEMENT LLC,EN-016198,True,0,cache/EN-016198/FirmComplianceReport_EN-016198_v1_20250707.json
106788,SIGULER GUFF ADVISERS LLC,EN-111718,True,0,cache/EN-111718/FirmComplianceReport_EN-111718_v1_20250707.json
